radius (m),length (m),xy,y,z,axis_direction,,,branch,branch_order
0.0135,0.084,-12.6129,145.015,160.402,0.3708,0.6857,-0.6264,36,2
0.019,0.1386,-12.5708,145.093,160.367,0.1469,0.582,-0.7999,36,2
0.0183,0.0961,-12.5452,145.167,160.252,0.2879,0.6276,-0.7233,36,2
0.0173,0.1262,-12.5252,145.238,160.176,0.8368,0.2683,-0.4773,36,2
0.0137,0.2371,-12.4107,145.286,160.063,0.9792,0.0757,0.188,36,2
0.0188,0.2694,-12.6272,144.852,160.559,0.3236,-0.9447,-0.0524,37,2
0.0185,0.0277,-12.5478,144.579,160.541,0.7253,-0.1684,-0.6675,37,2
0.0148,0.347,-12.4336,144.525,160.553,0.51,0.5674,-0.6465,37,2
0.0094,0.0812,-12.2525,144.708,160.352,0.855,-0.3627,-0.3708,37,2
0.0149,0.0714,-12.1905,144.672,160.311,0.8457,-0.1702,-0.5057,37,2
0.0069,0.0644,-12.1275,144.663,160.283,0.9562,-0.1232,-0.2656,37,2
0.0093,0.0859,-12.0625,144.658,160.273,0.8857,-0.3524,-0.3021,37,2
0.0078,0.0485,-11.9876,144.627,160.241,0.9515,-0.2539,-0.1738,37,2
0.0107,0.0711,-11.9423,144.612,160.229,0.9571,-0.2886,0.0239,37,2
0.0069,0.0857,-11.8698,144.602,160.227,0.9238,-0.2682,0.2731,37,2
0.0063,0.0593,-11.7903,144.579,160.25,0.879,-0.109,0.4642,37,2
0.0058,0.0701,-11.7356,144.573,160.274,0.8042,-0.2001,0.5597,37,2
0.0053,0.0762,-11.6798,144.557,160.314,0.8069,-0.1639,0.5675,37,2
0.005,0.1088,-11.6181,144.543,160.356,0.7884,-0.1329,0.6006,37,2
0.0036,0.0695,-11.529,144.531,160.419,0.6883,-0.1877,0.7007,37,2
0.0037,0.0496,-11.4801,144.518,160.466,0.6687,-0.1812,0.7211,37,2
0.0041,0.0876,-11.4464,144.509,160.502,0.6546,-0.2021,0.7285,37,2
0.0033,0.0501,-11.3875,144.491,160.564,0.5086,-0.1981,0.8379,37,2
0.0027,0.1331,-11.3594,144.481,160.605,0.468,-0.1979,0.8613,37,2
0.0062,0.1351,-12.614,144.917,160.628,0.0539,0.9827,-0.1774,38,2
0.01,0.1185,-12.6149,145.056,160.615,0.272,0.8887,-0.3691,38,2
0.009,0.0519,-12.5893,145.169,160.568,0.7801,0.5479,-0.302,38,2
0.0059,0.0842,-12.5491,145.198,160.54,0.7456,0.6663,-0.0069,38,2
0.0058,0.0991,-12.4865,145.255,160.535,0.7439,0.6557,0.1288,38,2
0.0083,0.1106,-12.4122,145.322,160.541,0.6479,0.7084,0.2801,38,2
0.0105,0.1755,-12.3468,145.416,160.566,0.7539,0.4828,0.4457,38,2
0.0048,0.151,-12.6407,144.959,160.701,-0.6413,0.3924,0.6594,39,2
0.003,0.2724,-12.7408,145.012,160.801,-0.6342,0.4274,0.6442,39,2
0.0105,0.1415,-12.621,144.985,160.767,0.4394,-0.0484,0.897,40,2
0.0091,0.3485,-12.53,145.032,160.866,0.6064,0.0855,0.7905,40,2
0.0056,0.0319,-12.366,145.101,161.17,0.5928,0.153,0.7907,40,2
0.0054,0.1178,-12.3463,145.105,161.195,0.5048,0.0965,0.8578,40,2
0.0066,0.2052,-12.2822,145.119,161.293,0.4416,0.0827,0.8934,40,2
0.0034,0.1365,-12.1947,145.136,161.478,0.4294,0.0576,0.9013,40,2
0.008,0.127,-12.1212,145.16,161.594,0.4276,-0.0051,0.904,40,2
0.0033,0.197,-12.6379,145.016,160.809,-0.5107,-0.4646,0.7234,41,2
0.0028,0.1005,-12.7436,144.923,160.949,-0.3146,-0.372,0.8733,41,2
0.0109,0.0573,-12.6188,145.077,160.958,0.4531,0.8637,0.2207,42,2
0.0109,0.1062,-12.5738,145.134,160.943,0.3886,0.7781,0.4936,42,2
0.0036,0.1202,-12.4978,145.219,160.965,0.4832,0.6412,0.5962,42,2
0.005,0.0644,-12.4431,145.296,161.04,0.4938,0.6179,0.6119,42,2
0.0047,0.07,-12.4089,145.335,161.078,0.466,0.5919,0.6577,42,2
0.0043,0.0869,-12.3778,145.38,161.123,0.4609,0.5119,0.7249,42,2
0.0055,0.0657,-12.3395,145.426,161.186,0.4605,0.4853,0.7433,42,2
0.0048,0.0662,-12.3087,145.459,161.233,0.4582,0.4576,0.762,42,2
0.0029,0.0714,-12.2738,145.49,161.281,0.457,0.4226,0.7827,42,2
0.0029,0.1301,-12.2419,145.521,161.337,0.4584,0.3321,0.8244,42,2
0.0039,0.0876,-12.6313,145.122,161.237,0.8688,0.3084,0.3875,43,2
0.0056,0.0529,-12.5545,145.153,161.268,0.781,0.245,0.5744,43,2
0.0057,0.1036,-12.5079,145.167,161.294,0.5768,0.2528,0.7768,43,2
0.0057,0.0792,-12.4477,145.193,161.375,0.4798,0.1882,0.857,43,2
0.0035,0.0679,-12.4075,145.207,161.441,0.4773,0.1602,0.864,43,2
0.0058,0.0601,-12.3809,145.219,161.503,0.4367,0.1416,0.8884,43,2
0.004,0.0889,-12.3522,145.228,161.555,0.439,0.1598,0.8842,43,2
0.0036,0.0991,-12.3131,145.242,161.633,0.4735,0.1254,0.8718,43,2
0.0067,0.1515,-12.2637,145.265,161.718,0.4543,0.0333,0.8902,43,2
0.0036,0.124,-12.6392,145.165,161.433,-0.2961,0.9298,0.2186,44,2
0.003,0.0544,-12.6763,145.281,161.46,-0.1759,0.9101,0.3751,44,2
0.0027,0.0433,-12.6882,145.332,161.477,-0.0157,0.8015,0.5978,44,2
0.0025,0.1308,-12.6903,145.369,161.501,0.0146,0.7374,0.6753,44,2
0.0052,0.1263,-12.6343,145.156,161.454,0.6329,0.0355,0.7734,45,2
0.005,0.0566,-12.5517,145.161,161.551,0.4257,0.0114,0.9048,45,2
0.0083,0.0598,-12.5125,145.163,161.596,0.3835,0.0156,0.9234,45,2
0.0048,0.0641,-12.5038,145.164,161.657,0.3888,0.0496,0.92,45,2
0.0084,0.0616,-12.4727,145.174,161.713,0.3238,0.0914,0.9417,45,2
0.0063,0.0592,-12.4519,145.171,161.772,0.2999,0.1068,0.948,45,2
0.0044,0.0975,-12.4373,145.177,161.829,0.3366,0.1014,0.9362,45,2
0.0071,0.1303,-12.4034,145.197,161.92,0.3524,0.0223,0.9356,45,2
0.0026,0.1648,-12.6368,145.163,161.463,-0.5826,-0.1265,0.8029,46,2
0.0029,0.0677,-12.7328,145.141,161.595,-0.5328,-0.1066,0.8395,46,2
0.0027,0.0608,-12.7696,145.133,161.651,-0.4114,-0.0717,0.9086,46,2
0.0057,0.1137,-12.7899,145.131,161.708,-0.3435,0.0696,0.9366,46,2
0.0027,0.0513,-12.6282,145.295,162.096,0.1907,0.7685,0.6107,47,2
0.0027,0.0662,-12.6108,145.325,162.128,0.5143,0.4101,0.7532,47,2
0.0025,0.0511,-12.5785,145.363,162.206,0.792,0.5851,-0.1741,47,2
0.0176,0.0772,-14.4182,143.903,159.788,0.6626,0.3163,0.6789,48,2
0.0175,0.0311,-14.367,143.928,159.841,0.6622,0.0707,0.746,48,2
0.02,0.1139,-14.3447,143.926,159.863,0.6331,0.1427,0.7608,48,2
0.0151,0.1522,-14.2788,143.973,159.951,0.3631,0.0308,0.9312,48,2
0.0117,0.0733,-14.221,143.973,160.092,0.3304,-0.0513,0.9425,48,2
0.0101,0.442,-14.1736,143.973,160.155,0.2338,0.011,0.9722,48,2
0.0077,0.0875,-14.0675,143.983,160.585,0.2335,-0.0092,0.9723,48,2
0.0067,0.074,-14.0446,143.98,160.669,0.1246,-0.1208,0.9848,48,2
0.0057,0.0628,-14.0351,143.971,160.742,0.1168,0.0512,0.9918,48,2
0.0057,0.0728,-14.0343,143.972,160.806,0.2419,0.0877,0.9663,48,2
0.0098,0.0713,-14.0138,143.984,160.876,0.0619,0.0678,0.9958,48,2
0.0022,0.1034,-14.0201,143.981,160.947,-0.0002,0.0806,0.9967,48,2
0.0098,0.0942,-14.4387,144.264,160.149,-0.8516,0.3694,0.3719,49,2
0.0087,0.0537,-14.5197,144.297,160.184,-0.8569,0.4166,0.3037,49,2
0.007,0.1339,-14.5662,144.318,160.201,-0.885,0.3883,0.257,49,2
0.0166,0.0552,-14.677,144.39,160.241,-0.8914,0.2325,0.3891,49,2
0.0131,0.0756,-14.757,144.404,160.261,-0.0372,0.5659,0.8236,49,2
0.0068,0.0842,-14.7725,144.444,160.323,-0.0904,0.3267,0.9408,49,2
0.0067,0.0542,-14.7731,144.474,160.402,-0.084,0.3237,0.9424,49,2
0.0066,0.0751,-14.7846,144.489,160.454,0.0533,0.3017,0.9519,49,2
0.0087,0.072,-14.7789,144.508,160.527,-0.0191,0.2596,0.9655,49,2
0.0064,0.1409,-14.7824,144.531,160.595,-0.0535,0.2227,0.9734,49,2
0.01,0.1592,-14.7842,144.567,160.731,-0.02,0.1542,0.9878,49,2
0.008,0.0736,-14.7908,144.589,160.889,-0.0206,0.168,0.9856,49,2
0.0082,0.1157,-14.7925,144.603,160.961,-0.0147,0.1621,0.9867,49,2
0.0054,0.0649,-14.7985,144.619,161.076,-0.0825,0.1669,0.9825,49,2
0.0052,0.0627,-14.8024,144.631,161.139,-0.0516,0.139,0.9889,49,2
0.005,0.0661,-14.8056,144.639,161.201,-0.0579,0.144,0.9879,49,2
0.005,0.0767,-14.8088,144.649,161.267,-0.0463,0.1147,0.9923,49,2
0.0071,0.0741,-14.8095,144.655,161.344,-0.1102,0.1306,0.9853,49,2
0.0085,0.0741,-14.8199,144.66,161.417,-0.1521,0.1445,0.9777,49,2
0.0069,0.0831,-14.8267,144.672,161.489,0.0132,0.1072,0.9941,49,2
0.0075,0.1061,-14.8228,144.679,161.572,-0.1008,0.0507,0.9936,49,2
0.0037,0.1543,-14.2481,144.347,160.774,0.4242,-0.3491,0.8356,50,2
0.0034,0.057,-14.1816,144.293,160.902,0.3198,-0.2668,0.9091,50,2
0.0034,0.0753,-14.1614,144.275,160.953,0.2984,-0.188,0.9357,50,2
0.0059,0.0856,-14.1336,144.264,161.023,0.2686,-0.1621,0.9495,50,2
0.0033,0.0695,-14.1172,144.245,161.105,0.2608,-0.117,0.9583,50,2
0.0047,0.1168,-14.1025,144.237,161.173,0.2766,-0.1415,0.9505,50,2
0.0049,0.0473,-14.0687,144.219,161.283,0.1738,-0.1034,0.9793,50,2
0.0052,0.0566,-14.0605,144.217,161.33,0.1755,-0.1319,0.9756,50,2
0.003,0.1392,-14.0528,144.206,161.385,0.1941,-0.1516,0.9692,50,2
0.0038,0.1373,-14.0264,144.185,161.52,0.1547,-0.1057,0.9823,50,2
0.0071,0.2464,-14.2654,144.366,160.787,-0.013,0.6168,0.787,51,2
0.0037,0.2693,-14.2675,144.348,160.824,-0.501,-0.4592,0.7335,52,2
0.0044,0.3382,-14.2654,144.365,160.895,-0.6449,0.303,0.7016,53,2
0.003,0.0579,-14.2563,144.383,161.19,-0.3665,0.5428,0.7557,54,2
0.003,0.0353,-14.2775,144.415,161.234,-0.4707,0.4151,0.7785,54,2
0.0047,0.103,-14.3007,144.43,161.258,-0.3342,0.3791,0.8629,54,2
0.0035,0.0658,-14.3427,144.468,161.346,-0.2624,0.3055,0.9153,54,2
0.0027,0.0671,-14.3589,144.488,161.406,-0.2755,0.291,0.9162,54,2
0.0026,0.0586,-14.3773,144.508,161.468,-0.282,0.3187,0.9049,54,2
0.0029,0.1043,-14.3952,144.525,161.52,-0.2708,0.3069,0.9124,54,2
0.0059,0.1165,-14.4219,144.568,161.615,-0.2614,0.142,0.9547,54,2
0.0038,0.0906,-14.4524,144.59,161.724,-0.1158,0.2403,0.9638,54,2
0.0082,0.0265,-14.229,144.384,161.353,0.5908,0.6063,0.5323,55,2
0.0081,0.0738,-14.2212,144.405,161.363,0.1124,0.7512,0.6505,55,2
0.005,0.0902,-14.2178,144.458,161.414,0.1992,0.5025,0.8413,55,2
0.0057,0.1239,-14.1911,144.498,161.492,0.0983,0.4871,0.8678,55,2
0.0041,0.0856,-14.1822,144.559,161.599,0.1271,0.4214,0.8979,55,2
0.0033,0.1014,-14.1701,144.596,161.676,0.168,0.3913,0.9048,55,2
0.0022,0.1423,-14.1523,144.636,161.767,0.1683,0.3553,0.9195,55,2
0.0033,0.2167,-14.2347,144.374,161.569,0.0372,-0.6289,0.7766,56,2
0.0028,0.1559,-14.2276,144.235,161.736,-0.007,-0.4844,0.8748,56,2
0.0072,0.3288,-14.2331,144.395,161.594,-0.6745,0.1461,0.7237,57,2
0.0021,0.1281,-14.2137,144.379,161.64,0.6225,-0.468,0.6273,58,2
0.0042,0.0933,-14.135,144.324,161.724,0.4667,-0.4458,0.7638,58,2
0.002,0.0769,-14.0912,144.285,161.796,0.5589,-0.4067,0.7227,58,2
0.0055,0.1297,-14.2184,144.397,161.846,-0.4795,0.2136,0.8511,59,2
0.0058,0.1395,-14.2831,144.428,161.955,-0.3606,0.1007,0.9273,59,2
0.0033,0.0608,-14.1893,144.425,161.941,0.1409,0.9201,0.3654,60,2
0.0033,0.1331,-14.1808,144.481,161.964,0.216,0.6301,0.7459,60,2
0.0131,0.1668,-14.2607,143.249,159.493,0.4498,0.5884,0.6719,61,2
0.0219,0.1832,-14.1783,143.369,159.609,0.0607,-0.2086,0.9761,61,2
0.0219,0.1629,-14.14,143.35,159.787,0.0507,-0.0169,0.9986,61,2
0.0053,0.1771,-14.1479,143.336,159.95,0.147,-0.1165,0.9822,61,2
0.0087,0.0756,-14.6655,142.632,160.064,-0.9043,-0.0713,-0.421,62,2
0.0087,0.1112,-14.7339,142.627,160.032,-0.7472,-0.3668,-0.5543,62,2
0.0145,0.1195,-14.8248,142.598,159.972,-0.8131,-0.4852,-0.3218,62,2
0.0129,0.0763,-14.9329,142.557,159.928,-0.7585,-0.606,-0.2396,62,2
0.0127,0.0648,-15.0016,142.529,159.897,-0.8822,-0.4657,0.0693,62,2
0.0126,0.1294,-15.0509,142.484,159.907,-0.8865,-0.4236,0.1863,62,2
0.0114,0.1882,-15.1613,142.419,159.92,-0.8995,-0.4346,0.0449,62,2
0.0098,0.1735,-15.3397,142.339,159.898,-0.8704,-0.4287,0.2421,62,2
0.0079,0.4024,-15.4838,142.27,159.953,-0.6701,-0.5,0.5486,62,2
0.0067,0.0465,-14.7214,142.559,160.192,-0.0488,0.6576,0.7518,63,2
0.0067,0.1441,-14.7237,142.59,160.227,0.3765,0.2967,0.8776,63,2
0.003,0.0434,-14.9813,142.283,160.338,0.1787,0.4426,0.8787,64,2
0.0038,0.0885,-14.98,142.305,160.378,0.3109,0.4053,0.8597,64,2
0.0027,0.0542,-14.9535,142.339,160.456,0.3238,0.5166,0.7927,64,2
0.0028,0.1889,-14.9366,142.366,160.499,0.3535,0.5471,0.7588,64,2
0.0077,0.0901,-14.9955,142.238,160.354,0.4159,-0.6961,0.5852,65,2
0.0076,0.0915,-14.9586,142.172,160.404,0.4155,-0.6055,0.6788,65,2
0.007,0.0613,-14.9202,142.117,160.466,0.388,-0.5425,0.7451,65,2
0.0071,0.0523,-14.896,142.084,160.512,0.3832,-0.5455,0.7454,65,2
0.0068,0.1148,-14.8762,142.055,160.551,0.3888,-0.5627,0.7295,65,2
0.0064,0.0686,-14.8312,141.99,160.634,0.3828,-0.5476,0.744,65,2
0.005,0.1498,-14.8021,141.947,160.68,0.3797,-0.5222,0.7636,65,2
0.0068,0.2722,-14.7697,141.829,160.798,0.5724,-0.2716,0.7737,65,2
0.0049,0.0773,-14.6542,141.732,161.01,0.2359,-0.3711,0.8981,65,2
0.0043,0.0677,-14.6357,141.704,161.08,0.2377,-0.3469,0.9073,65,2
0.004,0.1459,-14.6157,141.678,161.14,0.1391,-0.2931,0.9459,65,2
0.0035,0.1905,-15.0366,142.223,160.392,-0.3151,-0.8383,0.445,66,2
0.0052,0.1181,-15.0975,142.062,160.474,-0.1619,-0.8282,0.5365,66,2
0.0052,0.0555,-15.1168,141.963,160.537,-0.1285,-0.791,0.5982,66,2
0.0039,0.1533,-15.1311,141.917,160.566,-0.0759,-0.7389,0.6695,66,2
0.0038,0.0566,-15.1415,141.803,160.669,-0.1453,-0.7336,0.6639,66,2
0.0035,0.1013,-15.1513,141.762,160.706,-0.1196,-0.7206,0.683,66,2
0.004,0.0928,-15.1637,141.688,160.775,-0.0761,-0.6361,0.7679,66,2
0.0035,0.0651,-15.1775,141.626,160.844,0.0126,-0.5228,0.8524,66,2
0.003,0.1441,-15.1723,141.591,160.899,0.0322,-0.411,0.9111,66,2
0.0059,0.0753,-15.0403,142.236,160.42,0.2248,0.2714,0.9359,67,2
0.005,0.0958,-15.0253,142.253,160.493,0.2386,0.3356,0.9113,67,2
0.0047,0.0779,-15.003,142.285,160.58,0.2694,0.3442,0.8994,67,2
0.0048,0.0663,-14.9822,142.313,160.65,0.2903,0.3104,0.9052,67,2
0.003,0.0871,-14.9611,142.333,160.71,0.3066,0.2899,0.9066,67,2
0.0033,0.1182,-14.9369,142.361,160.789,0.3121,0.2677,0.9115,67,2
0.0049,0.0472,-14.904,142.396,160.896,0.271,0.2555,0.928,67,2
0.0036,0.0903,-14.8884,142.407,160.94,0.2911,0.1723,0.941,67,2
0.0034,0.0565,-14.8611,142.421,161.025,0.2458,0.1911,0.9503,67,2
0.0034,0.1503,-14.8476,142.433,161.078,0.2254,0.1883,0.9559,67,2
0.0052,0.0335,-15.1027,142.218,160.472,-0.2254,0.5416,0.8098,68,2
0.0052,0.0369,-15.1102,142.236,160.499,-0.5333,0.5961,0.6002,68,2
0.0078,0.091,-15.1277,142.258,160.524,-0.5459,0.5956,0.5893,68,2
0.0106,0.1817,-15.1686,142.324,160.58,-0.6884,0.3442,0.6385,68,2
0.0081,0.1251,-15.2784,142.415,160.705,-0.0869,-0.2662,0.96,68,2
0.0039,0.1328,-15.295,142.381,160.824,-0.1461,-0.1891,0.971,68,2
0.0044,0.073,-15.3171,142.355,160.953,-0.0974,-0.1676,0.981,68,2
0.0039,0.0991,-15.3261,142.341,161.024,-0.0686,-0.1595,0.9848,68,2
0.0068,0.1165,-15.3352,142.319,161.121,-0.0153,-0.1175,0.993,68,2
0.0081,0.0756,-15.3366,142.304,161.236,0.01,-0.1199,0.9927,68,2
0.0099,0.1127,-15.3342,142.288,161.311,-0.0252,-0.0144,0.9996,68,2
0.0126,0.0925,-15.3291,142.276,161.422,0.047,-0.142,0.9887,68,2
0.0025,0.0622,-15.3947,142.043,160.738,-0.1932,-0.9326,-0.3049,69,2
0.0025,0.0784,-15.4067,141.985,160.719,0.4778,-0.7522,0.4537,69,2
0.0027,0.1477,-15.3544,141.962,160.773,0.1987,-0.5226,0.8291,69,2
