Info,Data
TotalVolume,237.2
TrunkVolume,31.91
BranchVolume,205.3
TreeHeight,4.476
TrunkLength,3.222
BranchLength,456.1
TotalLength,459.3
NumberBranches,853
MaxBranchOrder,7
TrunkArea,0.9463
BranchArea,25.23
TotalArea,26.18
DBHqsm,0.07251
DBHcyl,0.07251
CrownDiamAve,4.569
CrownDiamMax,4.825
CrownAreaConv,19.11
CrownAreaAlpha,17.03
CrownBaseHeight,0.4419
CrownLength,4.034
CrownRatio,0.9013
CrownVolumeConv,49.9
CrownVolumeAlpha,39.39
DBHtri,0.07083
TriaTrunkVolume,29.6
TriaTrunkArea,0.8568
MixTrunkVolume,29.6
MixTrunkArea,0.8568
MixTotalVolume,200.8
MixTotalArea,23.79
TriaTrunkLength,0